0,"[[408,242],[240,169],[419,53],[425,52],[432,256],[445,423]]",9
0,"[[472.4259948730469,97.22699737548828],[241.28799438476562,75.7750015258789],[427.93499755859375,358.9410095214844],[436.85198974609375,362.4259948730469],[251.77899169921875,359.9309997558594],[472.6789855957031,98.90799713134766]]",8
0,"[[359.58099365234375,380.3869934082031],[381.36700439453125,206.50100708007812],[379.2560119628906,76.57599639892578],[384.468994140625,76.14700317382812],[326.60198974609375,117.27300262451172],[301.51300048828125,132.802001953125]]",1
0,"[[128.01600646972656,67.77799987792969],[314.74798583984375,124.17300415039062],[240.9429931640625,183.375],[240.00999450683594,182.69000244140625],[306.1099853515625,283.47198486328125],[166.27499389648438,339.9729919433594]]",3
0,"[[534.0419921875,201.8800048828125],[582.8369750976562,102.86199951171875],[874.2009887695312,150.21499633789062],[548.5714285714286,194.2052116817245],[766.010009765625,365.4840087890625],[571.22802734375,393.6109924316406]]",5
0,"[[535.35302734375,263.8399963378906],[649.7760009765625,256.3970031738281],[753.1599731445312,260.1390075683594],[482.906005859375,101.61199951171875],[712.0889892578125,108.52200317382812],[564.3090209960938,450.99200439453125]]",7
0,"[[514.8660278320312,92.98799896240234],[481.9630126953125,246.41799926757812],[688.4769897460938,244.4239959716797],[505.91802978515625,90.19000244140625],[728.3599853515625,78.5989990234375],[618.0260009765625,452.239013671875]]",9
0,"[[412.593994140625,371.1780090332031],[460.6189880371094,66.79199981689453],[626.0869750976562,56.76799774169922],[392.34100341796875,386.12701416015625],[685.7142857142857,402.06308373992704],[641.333984375,65.36100006103516]]",0
0,"[[86.88500213623047,406.84698486328125],[274.2857142857143,310.05816650151087],[456.02301025390625,451.010009765625],[508.4739990234375,128.5800018310547],[317.99200439453125,215.6820068359375],[161.6219940185547,136.843994140625]]",2
0,"[[180,184],[245,368],[413,269],[413,268],[336,30],[180,183]]",0
0,"[[111,333],[256,174],[108,154],[110,331],[216,331],[245,330]]",2
0,"[[488,218],[333,214],[348,58],[467,66],[486,217],[481,349]]",4
0,"[[506.072998046875,71.70600128173828],[376.79901123046875,269.6390075683594],[597.9630126953125,275.6919860839844],[513.5880126953125,62.433998107910156],[513.3569946289062,316.2720031738281],[544.9509887695312,431.5320129394531]]",4
0,"[[301.2409973144531,303.7980041503906],[533.7379760742188,319.6189880371094],[365.2760009765625,424.77301025390625],[439.3900146484375,90.4260025024414],[303.5530090332031,293.8190002441406],[370.78900146484375,426.5409851074219]]",6
0,"[[277.6820068359375,430.5360107421875],[378.26300048828125,205.4340057373047],[500.9679870605469,414.97698974609375],[256.6289978027344,108.95999908447266],[375.52099609375,204.9239959716797],[523.6690063476562,93.95099639892578]]",8
0,"[[54.89699935913086,359.9309997558594],[274.2857142857143,61.7213183260227],[450.0870056152344,405.5],[767.22802734375,376.14801025390625],[685.7142857142857,179.3272988223581],[433.45001220703125,383.6319885253906]]",1
0,"[[308.8399963378906,66.3949966430664],[528.5040283203125,65.54499816894531],[411.42857142857144,223.67010482767444],[416.26300048828125,226.13400268554688],[535.843017578125,410.8110046386719],[282.4519958496094,373.65301513671875]]",3
0,"[[573.56201171875,91.73999786376953],[323.0570068359375,101.65599822998047],[342.0169982910156,237.94500732421875],[344.7909851074219,242.67599487304688],[569.8380126953125,295.1319885253906],[368.447998046875,400.76300048828125]]",5
0,"[[227.2689971923828,79.24500274658203],[523.8150024414062,67.54399871826172],[326.9410095214844,402.09100341796875],[322.9490051269531,225.28900146484375],[429.14599609375,233.91099548339844],[531.447021484375,245.12100219726562]]",7
